,dept_name,dept_description
0,Accident and emergency (A&E),"This department (sometimes called Casualty) is where you're likely to be taken if you've called an ambulance in an emergency. It's also where you should come if you've had an accident, but can make your own way to hospital.These departments operate 24 hours a day, every day and are staffed and equipped to deal with all emergencies. Patients are assessed and seen in order of need, usually with a separate minor injuries area supported by nurses.⚠️ If you need urgent medical attention, to find your nearest A&E visit the NHS location services or dial 999 for an ambulance."
1,Anaesthetics,Doctors in this department give anaesthetic for operations. They are responsible for the provision of the following: 
2,Breast screening,"This unit screens women for breast cancer, either through routine mammogram examinations or at the request of doctors. It's usually linked to an X-ray department."
3,Cardiology,This department provides medical care to patients who have problems with their heart or circulation. It treats people on an inpatient and outpatient basis.
4,Chaplaincy,"Chaplains promote the spiritual and pastoral wellbeing of patients, relatives and staff. They are available to all members of staff for confidential counsel and support irrespective of religion or race. A hospital chapel is also usually available."
5,Critical care,"Sometimes called intensive care, this unit is for the most seriously ill patients. It has a relatively small number of beds and is manned by specialist doctors and nurses, as well as by consultant anaesthetists, physiotherapists and dietitians. Patients requiring intensive care are often transferred from other hospitals or from other departments in the same hospital."
6,Diagnostic imaging,"Formerly known as X-ray, this department provides a full range of diagnostic imaging services including the following:"
7,Discharge lounge,"Many hospitals now have discharge lounges to help your final day in hospital go smoothly. Patients who don't need to stay on the ward are transferred to the lounge on the day of discharge. Staff will inform the pharmacy, transport and relatives of your transfer.To help pass the time, there are usually facilities such as a TV, radio, magazines, puzzles, books and newspapers.⚠️ If someone feels unwell while waiting, nurses can contact a doctor to come and see you before you are discharged."
8,Ear nose and throat (ENT),"The ENT department provides care for patients with a variety of ear, nose and throat problems, including the following:"
9,Elderly services department,"Led by consultant physicians specialising in geriatric medicine, the elderly services department looks after a wide range of problems associated with the elderly, including the following:"
10,Gastroenterology,"Run by consultants specialising in bowel-related medicine, this department investigates and treats upper and lower gastrointestinal disease, as well as diseases of the pancreas and bile duct system.This includes endoscopy and nutritional services. Sub-specialities include colorectal surgery, inflammatory bowel disease and swallowing problems.There are often endoscopy nurse specialists linked to a gastroenterology unit who are able to perform a wide range of bowel investigations. Endoscopy involves a small thin tube with a camera on the end. This is guided down the throat or up the back passage to investigate problems in your oesophagus, digestive system and large bowels. Small surgical instruments can be guided up or down in the same way, meaning it can be used for diagnosis and treatment."
11,General surgery,The general surgery ward covers a wide range of surgery and typically includes the following:
12,Gynaecology,"Gynaecology departments investigate and treat problems of the female urinary tract and reproductive organs, such as endometritis, infertility and incontinence.They also provide a range of care for cervical smear screening and post-menopausal bleeding checks. Gynaecology departments usually have the following: "
13,Haematology,"Haematology services work closely with the hospital laboratory. These doctors treat blood diseases and malignancies linked to the blood, with both new referrals and emergency admissions being seen."
14,Maternity departments,"Women now have a choice of who leads their maternity care and where they give birth. Care can be led by a consultant, a GP or a midwife. Maternity wards provide antenatal care, care during childbirth and postnatal support.Antenatal clinics provide monitoring for both routine and complicated pregnancies.High-dependency units can offer one-to-one care for women who need close monitoring when there are complications in pregnancy or childbirth."
15,Microbiology,"The microbiology department looks at all aspects of microbiology, such as bacterial and viral infections. They have become increasingly high profile following the rise of hospital-acquired infections, such as MRSA and C. difficile as well as antibiotic-resistant ‘superbugs’.A head microbiology consultant and team of microbiologists test patient samples sent to them by medical staff from the hospital and from doctors' surgeries."
16,Neonatal unit,"Neonatal units have a number of cots that are used for intensive, high-dependency and special care for new-born babies.It always maintains close links with the hospital maternity department, in the interest of babies and their families.Neonatal units have the philosophy that, whenever possible, mother and baby should be together."
17,Nephrology,This department monitors and assesses patients with kidney (renal) problems. Nephrologists (kidney specialists) will liaise with the transplant team in cases of kidney transplants.They also supervise the dialysis day unit for people who are waiting for a kidney transplant or who are unable to have a transplant for any reason.
18,Neurology,"This unit deals with disorders of the nervous system, including the brain and spinal cord. It's run by doctors who specialise in this area (neurologists) and their staff. There are also paediatric neurologists who treat children. Neurologists may also be involved in clinical research and clinical trials.Specialist nurses (epilepsy, multiple sclerosis) liaise with patients, consultants and GPs to help with any problems that may occur between outpatient appointments."
19,Nutrition and dietetics,"Trained dieticians and nutritionists provide specialist advice on diet for hospital wards and outpatient clinics, forming part of a multidisciplinary team. The nutrition and dietetics department works across a wide range of specialities such as: "
20,Obstetrics and gynaecology units,The obstetrics and gynaecology unit provides maternity services such as:
21,Occupational therapy,"This profession helps people who are physically or mentally impaired, including temporary disability after medical treatment. It practices in the fields of both healthcare and social care. The aim of occupational therapy is to restore physical and mental functioning to help people participate in life to the fullest.Occupational therapy assessments often guide hospital discharge planning, with the majority of patients given a home assessment to understand their support needs. Staff also arrange for provision of essential equipment and adaptations that are essential for discharge from hospital."
22,Oncology,"This department provides radiotherapy and a full range of chemotherapy treatments for cancerous tumours and blood disorders. Staffed by specialist doctors and nurses trained in oncology (cancer care), it has close links with surgical and medical teams in other departments."
23,Ophthalmology ,"Eye departments provide a range of ophthalmic services for adults and children, including the following:"
24,Orthopaedics,"Orthopaedic departments treat problems that affect your musculoskeletal system. That's your muscles, joints, bones, ligaments, tendons and nerves.The doctors and nurses who run this department deal with everything from setting bone fractures to carrying out surgery to correct problems such as torn ligaments and hip replacements.Orthopaedic trauma includes fractures and dislocations as well as musculoskeletal injuries to soft tissues."
25,Pain management clinics,"Usually run by consultant anaesthetists, these clinics aim to help treat patients with severe long-term pain that appears resistant to normal treatments. Depending on the hospital, a wide range of options are available, such as acupuncture, nerve blocks and drug treatment."
26,Pharmacy,"The hospital pharmacy is run by pharmacists, pharmacy technicians and attached staff. It is responsible for drug-based services in the hospital, including the following:"
27,Physiotherapy,"Physiotherapists promote body healing, for example after surgery, through therapies such as exercise and manipulation. This means they assess, treat and advise patients with a wide range of medical conditions. They also provide health education to patients and staff on how to do things more easily.Their services are provided to patients on the wards, in the physiotherapy department itself and in rehabilitation units. Physiotherapists often work closely with orthopaedic teams."
28,Radiotherapy,"Run by a combination of consultant doctors and specially trained radiotherapists, this department provides radiotherapy (X-ray) treatment for conditions such as malignant tumours and cancer."
29,Renal unit,"Closely linked with nephrology teams at hospitals, these units provide haemodialysis treatment for patients with kidney failure. Many of these patients are on waiting lists for a kidney transplant. They also provide facilities for peritoneal dialysis and help facilitate home haemodialysis."
30,Rheumatology,"Specialist doctors called rheumatologists run the unit and are experts in the field of musculoskeletal disorders (bones, joints, ligaments, tendons, muscles and nerves). Their role is to diagnose conditions and recommend appropriate treatment, if necessary from the orthopaedic department. The rheumatologist may need to review you regularly, either in person or via one of the rheumatology team.Alternatively, your condition may be one your GP can manage in the community. Many conditions are managed jointly between the GP and the hospital care team."
31,Sexual health (genitourinary medicine),The sexual health department provides a free and confidential service offering the following services:
32,Urology,The urology department is run by consultant urology surgeons and their surgical teams. It investigates all areas linked to kidney and bladder-based problems.  The urology department typically performs the following procedures: 
